,Precisión Global,Error Global,Precisión Positiva (PP),Precisión Negativa (PN),Proporción de Falsos Positivos (PFP),Proporción de Falsos Negativos (PFN),Asertividad Positiva (AP),Asertividad Negativa (AN)
SVM,0.740602,0.259398,0.807229,0.63,0.37,0.192771,0.783626,0.663158
Bosque Aleatorio,0.714286,0.285714,0.783133,0.6,0.4,0.216867,0.764706,0.625
XG Boost,0.691729,0.308271,0.771084,0.56,0.44,0.228916,0.744186,0.595745
ADA Boost,0.680451,0.319549,0.801205,0.48,0.52,0.198795,0.718919,0.592593
LDA,0.6578947368421053,0.34210526315789475,0.7839506172839507,0.46153846153846156,0.5384615384615384,0.21604938271604937,0.6939890710382514,0.5783132530120482
QDA,0.6390977443609023,0.3609022556390977,0.5617283950617284,0.7596153846153846,0.2403846153846154,0.4382716049382716,0.7844827586206896,0.5266666666666666
KNN,0.62782,0.37218,0.710843,0.49,0.51,0.289157,0.698225,0.505155
Naive Bayes,0.612782,0.387218,0.493976,0.81,0.19,0.506024,0.811881,0.490909
Árbol de Decisión,0.56391,0.43609,0.626506,0.46,0.54,0.373494,0.65822,0.425926
